cod ;f_Hz;GMPaH;AnH;p200_%;p4_%;p38_%;p34_%;vv_%;vbe_%;vma_%;vfa_%;Elab_Mpa;dm_graus
6.01;2.45376E-05;0.001448806;84.71767217;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;109.007597;22.66087659
6.02;0.000122688;0.006395454;82.85701371;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;185.4117355;27.65155713
6.03;0.000245376;0.011810928;81.89640216;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;240.9801331;29.69581728
6.04;0.000572543;0.024450251;80.57334513;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;339.9519327;31.81033506
6.05;0.001226878;0.04605009;79.23026182;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;471.7147105;33.10712936
6.06;0.002453755;0.080447493;77.87219312;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;642.1169172;33.61289919
6.07;0.002862715;0.090861167;77.55153974;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;688.3235968;33.62740882
6.08;0.005725429;0.155416333;76.02207692;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;942.6334192;33.23808102
6.09;0.006134388;0.163790133;75.86180121;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;972.658801;33.1592429
6.1;0.028627146;0.505421584;71.88417214;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;1937.942655;29.80194506
6.11;0.057254291;0.815999314;69.83582688;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;2604.303304;27.58738742
6.12;0.081791845;1.037085329;68.71771655;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;3015.562192;26.36589701
6.13;0.143135728;1.496935868;66.87557622;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;3762.42146;24.40538417
6.14;0.408959224;2.892191559;63.13523716;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;5514.467385;20.79393746
6.15;0.817918447;4.374484647;60.47142036;0.045096005;0.601405252;0.341629041;0.039943247;0.040037824;0.10152;0.141557824;0.717162764;6918.595615;18.57736524
