exec,otimizador,repeticao,parte,modelo,RMSE,R2
370,L-BFGS-B,8,1,sak,0.14326274,0.963483142
371,L-BFGS-B,8,2,sak,0.140551766,0.960681422
372,L-BFGS-B,8,3,sak,0.143445488,0.962613278
373,L-BFGS-B,8,4,sak,0.122754855,0.966398969
374,L-BFGS-B,8,5,sak,0.14091512,0.959797318
375,L-BFGS-B,8,6,sak,0.141120755,0.960047559
376,L-BFGS-B,8,7,sak,0.15181405,0.952867216
377,L-BFGS-B,8,8,sak,0.156103193,0.954735923
378,L-BFGS-B,8,9,sak,0.142793202,0.963552126
379,L-BFGS-B,8,10,sak,0.145205056,0.960718722
380,L-BFGS-B,9,1,sak,0.138110618,0.959537424
381,L-BFGS-B,9,2,sak,0.156383797,0.952945787
382,L-BFGS-B,9,3,sak,0.13177647,0.967435847
383,L-BFGS-B,9,4,sak,0.136472932,0.959615891
384,L-BFGS-B,9,5,sak,0.136850752,0.955703175
385,L-BFGS-B,9,6,sak,0.151928192,0.958469423
386,L-BFGS-B,9,7,sak,0.134836085,0.965884555
387,L-BFGS-B,9,8,sak,0.148388359,0.961946389
388,L-BFGS-B,9,9,sak,0.149180565,0.957376525
389,L-BFGS-B,9,10,sak,0.148425952,0.962178704
390,L-BFGS-B,10,1,sak,0.141712955,0.963236009
391,L-BFGS-B,10,2,sak,0.147823612,0.961325059
392,L-BFGS-B,10,3,sak,0.138078899,0.964502132
393,L-BFGS-B,10,4,sak,0.155787877,0.944148148
394,L-BFGS-B,10,5,sak,0.138773339,0.962235961
395,L-BFGS-B,10,6,sak,0.133578368,0.963296439
396,L-BFGS-B,10,7,sak,0.133248887,0.96883762
397,L-BFGS-B,10,8,sak,0.134380262,0.964772559
398,L-BFGS-B,10,9,sak,0.151870258,0.95328815
399,L-BFGS-B,10,10,sak,0.154664764,0.95467399
400,L-BFGS-B,11,1,sak,0.133104633,0.965633386
401,L-BFGS-B,11,2,sak,0.152143449,0.951552319
402,L-BFGS-B,11,3,sak,0.123698262,0.967221404
403,L-BFGS-B,11,4,sak,0.151493366,0.955554233
404,L-BFGS-B,11,5,sak,0.123041601,0.968401377
405,L-BFGS-B,11,6,sak,0.141069916,0.964655587
406,L-BFGS-B,11,7,sak,0.153420942,0.957891453
407,L-BFGS-B,11,8,sak,0.12751623,0.965900732
408,L-BFGS-B,11,9,sak,0.161632076,0.955310117
409,L-BFGS-B,11,10,sak,0.157888893,0.954276915
410,L-BFGS-B,12,1,sak,0.163971709,0.94952977
411,L-BFGS-B,12,2,sak,0.140572269,0.959290683
412,L-BFGS-B,12,3,sak,0.118837256,0.969058001
413,L-BFGS-B,12,4,sak,0.150761201,0.961622546
414,L-BFGS-B,12,5,sak,0.14262251,0.956781536
415,L-BFGS-B,12,6,sak,0.13861355,0.965839048
416,L-BFGS-B,12,7,sak,0.153890892,0.953614387
417,L-BFGS-B,12,8,sak,0.142913235,0.959682103
418,L-BFGS-B,12,9,sak,0.147371042,0.963596491
419,L-BFGS-B,12,10,sak,0.133079486,0.96191376
420,L-BFGS-B,13,1,sak,0.149218467,0.956933216
421,L-BFGS-B,13,2,sak,0.150751379,0.954851471
422,L-BFGS-B,13,3,sak,0.14705316,0.955515192
423,L-BFGS-B,13,4,sak,0.134173602,0.959246005
424,L-BFGS-B,13,5,sak,0.137050089,0.964738029
425,L-BFGS-B,13,6,sak,0.140116844,0.966473337
426,L-BFGS-B,13,7,sak,0.151410206,0.957388139
427,L-BFGS-B,13,8,sak,0.154512742,0.956698966
428,L-BFGS-B,13,9,sak,0.116190167,0.973887059
429,L-BFGS-B,13,10,sak,0.145991135,0.958358894
430,L-BFGS-B,14,1,sak,0.140175066,0.961289892
431,L-BFGS-B,14,2,sak,0.135625255,0.963819617
432,L-BFGS-B,14,3,sak,0.150875051,0.963084672
433,L-BFGS-B,14,4,sak,0.155977762,0.955614383
434,L-BFGS-B,14,5,sak,0.134935688,0.962074433
435,L-BFGS-B,14,6,sak,0.14529527,0.958500335
436,L-BFGS-B,14,7,sak,0.139763483,0.959840199
437,L-BFGS-B,14,8,sak,0.138625218,0.964215122
438,L-BFGS-B,14,9,sak,0.142741749,0.960387377
439,L-BFGS-B,14,10,sak,0.144660147,0.956033262
440,L-BFGS-B,15,1,sak,0.135591917,0.966129449
441,L-BFGS-B,15,2,sak,0.163295584,0.95548161
442,L-BFGS-B,15,3,sak,0.155542864,0.95503093
443,L-BFGS-B,15,4,sak,0.123052389,0.971361911
444,L-BFGS-B,15,5,sak,0.137491279,0.962564733
445,L-BFGS-B,15,6,sak,0.151877793,0.950389794
446,L-BFGS-B,15,7,sak,0.136844424,0.964766243
447,L-BFGS-B,15,8,sak,0.130018439,0.964162053
448,L-BFGS-B,15,9,sak,0.156033326,0.95043501
449,L-BFGS-B,15,10,sak,0.143879319,0.959616344
450,L-BFGS-B,16,1,sak,0.139122612,0.963335262
451,L-BFGS-B,16,2,sak,0.134201675,0.959940898
452,L-BFGS-B,16,3,sak,0.148866396,0.952890211
453,L-BFGS-B,16,4,sak,0.14848246,0.956482121
454,L-BFGS-B,16,5,sak,0.144601946,0.965535372
455,L-BFGS-B,16,6,sak,0.137279934,0.963414894
456,L-BFGS-B,16,7,sak,0.141156425,0.964457779
457,L-BFGS-B,16,8,sak,0.131405954,0.962811506
458,L-BFGS-B,16,9,sak,0.149446911,0.956301604
459,L-BFGS-B,16,10,sak,0.155521808,0.95777792
460,L-BFGS-B,17,1,sak,0.156059645,0.955074388
461,L-BFGS-B,17,2,sak,0.147663621,0.960279637
