Bairros;Densidade habitacional territorial;Percentual de area urbanizada;Grau de verticalizacao;Percentual area pracas;Percentual da area construida que e residencial;Percentual de imoveis alugados;Postos de trabalho – comercio;Postos de trabalho – servicos;Postos de trabalho – indústria de transformacao;Densidade domiciliar;Percentual domicilios recenseados ocupados;Indice desenvolvimento social;Percentual domicilios abaixo da linha de pobreza;Percentual da populacao vivendo em favelas;Homicidio doloso;Roubo a transeunte;Roubo de veiculos;Furto de veiculos;Menor Distancia centralidade tipo 1;Menor Distancia centralidade tipo 2;Menor Distancia centralidade tipo 3;Distância praia fora da baia mais proxima;Indice de Qualidade praia;Indice de transporte
Jardim Carioca;0.31446016;0.9893617;0.14414026;0.170347;0.7342986;0.51021871;0.11144488;0.0361995;0.00815851;0.60902256;0.86334298;0.42896175;0.30280172;0.24764383;0.375;0.23551171;0.13097426;0.43977055;0.34351145;0.6461039;0.38162544;0.74545455;0;0
Jardim Guanabara;0.20455147;0.93617021;0.19987111;0.47949527;0.931111;0.23101154;0.11414839;0.06971755;0.01272339;0.54887218;0.8991765;0.7295082;0.14116379;0.01974542;0.375;0.23551171;0.13097426;0.43977055;0.32061069;0.58766234;0.33215548;0.68636364;0.10666667;0
Jardim Sulacap;0.02992655;0.28723404;0.09385616;0.12681388;0.74252488;0.26125597;0.10829078;0.03523418;0.01612277;0.63909774;0.74137547;0.5136612;0.23868534;0.01768627;0.60714286;0.47348952;0.42738971;0.57361377;0.51653944;0.41233766;0.33215548;0.61818182;0;0.28571429
Joa;0.00544934;0.24468085;0.13274843;0.09400631;0.94232121;0.24878128;0.00082607;0.01285306;0.00019425;0.54887218;0.55464055;0.83879781;0;0;0.23214286;0.30826141;0.10891544;0.91395793;0.20356234;0.20454545;0.32508834;0;0.8;0
Lagoa;0.08173266;0.37234043;0.24494388;0.11419558;0.90241074;0.21728943;0.02628417;0.074133;0.00611888;0.29323308;0.78655687;1;0.16648707;0;0.02678571;0.0622688;0.02389706;0.11089866;0.10941476;0.27597403;0.14134276;0.09090909;0.10666667;0
Laranjeiras;0.37569458;0.60638298;0.51013531;0.4340694;0.86014765;0.4559105;0.11617603;0.17710046;0.00543901;0.21804511;0.86044959;0.81147541;0.15409483;0.04395116;0.03571429;0.26541307;0.10845588;0.27533461;0.02290076;0.28896104;0.08127208;0.06363636;0;0
Leblon;0.44056267;0.81914894;0.6225093;0.2807571;0.83331099;0.32403314;0.39110844;0.2996246;0.0247669;0.17293233;0.75829067;0.89344262;0.32596983;0;0.00892857;0.21300863;0.01332721;0.07648184;0.08396947;0.14935065;0.16254417;0;0.65333333;0.57142857
Leme;0.31064399;0.34042553;0.58727385;0.0384858;0.88913268;0.5422099;0.02425653;0.02322131;0;0.18796992;0.67260183;0.73770492;0.20528017;0.25267019;0.04464286;0.11991369;0.00183824;0.07456979;0.11704835;0.34415584;0.12014134;0;0.88;0
Lins de Vasconcelos;0.28774409;0.60638298;0.19783884;0.00315457;0.77665202;0.24895218;0.03709823;0.01746514;0.00252525;0.69172932;0.84687291;0.39344262;0.39385776;0.35444152;0.0625;0.35974106;0.32628676;0.13575526;0.15267176;0.37012987;0.23674912;0.52272727;0;0
Madureira;0.27076948;0.91489362;0.18177926;0.12492114;0.57105373;0.42004535;0.66423851;0.21149446;0.34440559;0.63157895;0.78344091;0.39344262;0.33836207;0.20454073;0.47321429;0.76479655;0.62408088;0.39388145;0.17811705;0.25649351;0.24734982;0.48636364;0;0.42857143
Magalhaes Bastos;0.25275712;1;0.09876977;0.08832808;0.75451666;0.27285062;0.02373085;0.00514837;0.0034965;0.67669173;0.83574449;0.33333333;0.44073276;0.17000824;0.60714286;0.47348952;0.42738971;0.57361377;0.50381679;0.16883117;0.14840989;0.59545455;0;0.42857143
Mangueira;0.46056856;0.80851064;0.05292616;0.00189274;0.41450775;0.10907225;0.00195254;0.00368252;0.0011655;1;0.83663477;0.2295082;0.90086207;0.29982559;0.28571429;0.31720099;0.20082721;0.42447419;0.07124682;0.35064935;0.11660777;0.34090909;0;0.14285714
Manguinhos;0.28287107;0.95744681;0.05915422;0;0;0.31899557;0.11655152;0.15529138;0.03554779;0.96240602;0.98486535;0.17759563;0.6799569;0.76839032;1;0.51418002;0.38556985;0.33843212;0.10941476;0.35714286;0.09540636;0.42272727;0;0.42857143
Maracana;0.31071724;1;0.34186843;0.04164038;0.58935333;0.41302617;0.11985581;0.3185556;0.16317016;0.33082707;0.81192967;0.73497268;0.13200431;0.01314595;0.00892857;0.23705302;0.08869485;0.09560229;0.043257;0.35064935;0.09540636;0.28636364;0;0.71428571
Mare;0.62823406;0.95744681;0.11190703;0.24984227;0.63692411;0.56522178;0.02966356;0.0279764;0.00135975;0.7443609;0.95726686;0.2568306;0.5856681;0.59332272;1;0.51418002;0.38556985;0.33843212;0.21628499;0.43181818;0.16254417;0.55;0;0.28571429
Marechal Hermes;0.25282654;1;0.07441231;0.10410095;0.77016729;0.41400607;0.06691199;0.03112263;0.03127428;0.66165414;0.8497663;0.33879781;0.42133621;0.23636202;0.25892857;0.39180025;0.36305147;0.25239006;0.18320611;0.19155844;0.17667845;0.53636364;0;0.14285714
Maria da Graca;0.19653779;1;0.23290851;0.02712934;0.53374498;0.60751615;0.02943827;0.04631748;0.02602953;0.52631579;0.80080125;0.4726776;0.27640086;0;0.24107143;0.30302096;0.3125;0.18164436;0.10941476;0.3538961;0.19081272;0.4;0;0.57142857
