,otimizador,repeticao,teste%,modelo,RMSE,R2
165,L-BFGS-B,16,0.15,sak,0.15633947792284855,0.9535959223585717
166,L-BFGS-B,17,0.15,sak,0.13574191115783074,0.9651295235693534
167,L-BFGS-B,18,0.15,sak,0.14607922570609574,0.9565202365588711
168,L-BFGS-B,19,0.15,sak,0.1354053084034201,0.9640657963688395
169,L-BFGS-B,20,0.15,sak,0.15154602436813244,0.9546786565408301
170,L-BFGS-B,21,0.15,sak,0.14574467173569453,0.9579102882082876
171,L-BFGS-B,22,0.15,sak,0.1443631601308888,0.9591927758875547
172,L-BFGS-B,23,0.15,sak,0.15371692683899657,0.9577403617767163
173,L-BFGS-B,24,0.15,sak,0.13993635566823773,0.9610140020180046
174,L-BFGS-B,25,0.15,sak,0.14128037682283995,0.9619889606696815
175,L-BFGS-B,26,0.15,sak,0.14434006062528576,0.9609834921711535
176,L-BFGS-B,27,0.15,sak,0.14885730350731546,0.961759820386572
177,L-BFGS-B,28,0.15,sak,0.1494777581405054,0.9575428970170239
178,L-BFGS-B,29,0.15,sak,0.14913897431688744,0.9539888061522477
179,L-BFGS-B,30,0.15,sak,0.13982676700946153,0.9609952772965407
180,L-BFGS-B,1,0.2,bw,0.19112254036372645,0.9295367223597562
181,L-BFGS-B,2,0.2,bw,0.18373086967656374,0.9407141890741036
182,L-BFGS-B,3,0.2,bw,0.17263453341473617,0.9415657455990646
183,L-BFGS-B,4,0.2,bw,0.20873016542378903,0.9153608810362786
184,L-BFGS-B,5,0.2,bw,0.1738221924417052,0.9367759567867479
185,L-BFGS-B,6,0.2,bw,0.17508925672950368,0.9406547626986056
186,L-BFGS-B,7,0.2,bw,0.17498493346594649,0.9458936124449018
187,L-BFGS-B,8,0.2,bw,0.19545747989100704,0.9292428523913049
188,L-BFGS-B,9,0.2,bw,0.1838365943921513,0.9372260238947377
189,L-BFGS-B,10,0.2,bw,0.183510031719372,0.9353659228044086
190,L-BFGS-B,11,0.2,bw,0.19788017391553894,0.9284262425886511
191,L-BFGS-B,12,0.2,bw,0.16330058605277462,0.9501114839590322
192,L-BFGS-B,13,0.2,bw,0.17749086317309157,0.9316277102093566
193,L-BFGS-B,14,0.2,bw,0.16819525158134457,0.9441125741215889
194,L-BFGS-B,15,0.2,bw,0.21893478535066305,0.9120185422675623
195,L-BFGS-B,16,0.2,bw,0.17433010808261504,0.9418226511928246
196,L-BFGS-B,17,0.2,bw,0.18448229292865542,0.9223965308968131
197,L-BFGS-B,18,0.2,bw,0.1732628248859197,0.9419725839459892
198,L-BFGS-B,19,0.2,bw,0.18313425746838824,0.9315310098280555
199,L-BFGS-B,20,0.2,bw,0.20347275407139206,0.9215974828373941
200,L-BFGS-B,21,0.2,bw,0.18204531941353652,0.9335825271620906
201,L-BFGS-B,22,0.2,bw,0.18160808052522812,0.9338759889937838
202,L-BFGS-B,23,0.2,bw,0.16011998649539003,0.9463124220679375
203,L-BFGS-B,24,0.2,bw,0.1733077797693829,0.940737278208147
204,L-BFGS-B,25,0.2,bw,0.20076920712790333,0.9310527001131403
205,L-BFGS-B,26,0.2,bw,0.17125779058124915,0.9418761722776774
206,L-BFGS-B,27,0.2,bw,0.18061394049133306,0.9320787528385063
207,L-BFGS-B,28,0.2,bw,0.16442286098614867,0.944353504200898
208,L-BFGS-B,29,0.2,bw,0.1847110414552919,0.9329467768728175
209,L-BFGS-B,30,0.2,bw,0.21367086945432243,0.9155554222392482
210,L-BFGS-B,1,0.2,ch,6718.144390562339,0.7356325430134206
211,L-BFGS-B,2,0.2,ch,7470.1493022950435,0.708085263888727
212,L-BFGS-B,3,0.2,ch,7053.795809593933,0.7264390788621946
213,L-BFGS-B,4,0.2,ch,7290.565614449347,0.7190441202585588
214,L-BFGS-B,5,0.2,ch,7930.191795758523,0.6773986133255387
215,L-BFGS-B,6,0.2,ch,7408.488681873827,0.7065897333620716
216,L-BFGS-B,7,0.2,ch,6730.256685134201,0.735284775271894
217,L-BFGS-B,8,0.2,ch,7255.99261270377,0.7106095867743467
218,L-BFGS-B,9,0.2,ch,5835.092124998999,0.779073073960634
219,L-BFGS-B,10,0.2,ch,6665.77001706711,0.7389179580953004
220,L-BFGS-B,11,0.2,ch,6898.642866563776,0.7226229892032945
221,L-BFGS-B,12,0.2,ch,6658.111091208207,0.7405862916469652
222,L-BFGS-B,13,0.2,ch,7686.592465817454,0.7013751054425393
223,L-BFGS-B,14,0.2,ch,6496.987358142932,0.749171641569077
224,L-BFGS-B,15,0.2,ch,7731.071380733431,0.6957777806243617
225,L-BFGS-B,16,0.2,ch,7210.0166360153,0.7101974755646138
226,L-BFGS-B,17,0.2,ch,7428.5329889592895,0.7065261349191222
227,L-BFGS-B,18,0.2,ch,7350.809777099621,0.7044871148300553
228,L-BFGS-B,19,0.2,ch,6073.459051902479,0.7724028680424654
229,L-BFGS-B,20,0.2,ch,6169.906022206662,0.7541629267736817
230,L-BFGS-B,21,0.2,ch,7906.961802051269,0.6898284932628618
231,L-BFGS-B,22,0.2,ch,8090.640744216181,0.6698246546189865
232,L-BFGS-B,23,0.2,ch,6646.062206557955,0.7341386820999223
233,L-BFGS-B,24,0.2,ch,7227.068350976133,0.7168304545620399
234,L-BFGS-B,25,0.2,ch,5733.854174549672,0.7811255764488488
235,L-BFGS-B,26,0.2,ch,7311.7836049724165,0.7100532312997203
236,L-BFGS-B,27,0.2,ch,7736.1858419269865,0.698578489041592
237,L-BFGS-B,28,0.2,ch,7547.42819832214,0.6871602953944654
238,L-BFGS-B,29,0.2,ch,5807.756529238698,0.7664999515641635
239,L-BFGS-B,30,0.2,ch,7923.001255225408,0.6842291655061827
240,L-BFGS-B,1,0.2,sak,0.13383182413998776,0.9627631535584018
241,L-BFGS-B,2,0.2,sak,0.14393530003399893,0.9590752617160663
242,L-BFGS-B,3,0.2,sak,0.15808550751571993,0.9498415796882782
243,L-BFGS-B,4,0.2,sak,0.16418674665872904,0.9590601462668328
244,L-BFGS-B,5,0.2,sak,0.13889320220874563,0.9651039635266713
245,L-BFGS-B,6,0.2,sak,0.1387046026788062,0.9606981933096489
246,L-BFGS-B,7,0.2,sak,0.14398209926323807,0.9609395358038949
247,L-BFGS-B,8,0.2,sak,0.14666241233114127,0.9584814529759698
248,L-BFGS-B,9,0.2,sak,0.15540877779746656,0.954001045919673
249,L-BFGS-B,10,0.2,sak,0.14648547050230945,0.9600751064911106
250,L-BFGS-B,11,0.2,sak,0.15221833075052704,0.9577891322288622
251,L-BFGS-B,12,0.2,sak,0.13813164567389152,0.9615948706551172
252,L-BFGS-B,13,0.2,sak,0.14350085805375637,0.9573272357288207
253,L-BFGS-B,14,0.2,sak,0.13714718122487718,0.9644809873882265
254,L-BFGS-B,15,0.2,sak,0.14574899267766273,0.9604186141560072
255,L-BFGS-B,16,0.2,sak,0.1337524024408318,0.9657465127539854
256,L-BFGS-B,17,0.2,sak,0.12790911492164422,0.9679279887595519
257,L-BFGS-B,18,0.2,sak,0.1407310668636558,0.9592369727130138
258,L-BFGS-B,19,0.2,sak,0.1484407208101666,0.9583974697026206
259,L-BFGS-B,20,0.2,sak,0.13317915079291764,0.966956830324466
260,L-BFGS-B,21,0.2,sak,0.134062872492203,0.9664424530119928
261,L-BFGS-B,22,0.2,sak,0.145891559067185,0.9604447326926296
262,L-BFGS-B,23,0.2,sak,0.15070904767260712,0.9536234971995817
263,L-BFGS-B,24,0.2,sak,0.14188362432049553,0.9605217604288876
264,L-BFGS-B,25,0.2,sak,0.14479075615210632,0.9578287454874247
265,L-BFGS-B,26,0.2,sak,0.14512688633193008,0.9603652617450854
266,L-BFGS-B,27,0.2,sak,0.1416117791383906,0.9571027796611498
267,L-BFGS-B,28,0.2,sak,0.14566390425868125,0.957471129914922
268,L-BFGS-B,29,0.2,sak,0.1345985932110584,0.9654383438085009
269,L-BFGS-B,30,0.2,sak,0.15489083369609322,0.9591242090371613
270,L-BFGS-B,1,0.25,bw,0.18095947017067282,0.9363123085598339
271,L-BFGS-B,2,0.25,bw,0.18178269627119986,0.9399392139311279
272,L-BFGS-B,3,0.25,bw,0.18337674079886745,0.9349072140810928
273,L-BFGS-B,4,0.25,bw,0.19277325437895018,0.9312573753809293
274,L-BFGS-B,5,0.25,bw,0.15607181957536748,0.9488999393148962
275,L-BFGS-B,6,0.25,bw,0.1667386503800058,0.9458333474724826
276,L-BFGS-B,7,0.25,bw,0.19637419961565075,0.9234013103718419
277,L-BFGS-B,8,0.25,bw,0.17861432072220004,0.9380423654752638
278,L-BFGS-B,9,0.25,bw,0.17408571291984354,0.9458132018060952
279,L-BFGS-B,10,0.25,bw,0.1680229952350698,0.9418501072011644
280,L-BFGS-B,11,0.25,bw,0.17976279033172352,0.9371830055037523
281,L-BFGS-B,12,0.25,bw,0.18540891365824202,0.9383002471628216
282,L-BFGS-B,13,0.25,bw,0.18795119676031669,0.9266165889586576
283,L-BFGS-B,14,0.25,bw,0.19031189794888412,0.9313096493937496
284,L-BFGS-B,15,0.25,bw,0.1698309933606675,0.9454875247140762
285,L-BFGS-B,16,0.25,bw,0.19198035569848662,0.9291912937471137
286,L-BFGS-B,17,0.25,bw,0.18138826048608261,0.9321122371781988
287,L-BFGS-B,18,0.25,bw,0.17132214823813322,0.9409598786617378
288,L-BFGS-B,19,0.25,bw,0.189294968026561,0.9313547482318902
289,L-BFGS-B,20,0.25,bw,0.20113130813743316,0.9203852434241032
290,L-BFGS-B,21,0.25,bw,0.17612584448854812,0.9411481450952297
291,L-BFGS-B,22,0.25,bw,0.18265912811839158,0.937500242281008
292,L-BFGS-B,23,0.25,bw,0.20652687720416538,0.9195731003980468
293,L-BFGS-B,24,0.25,bw,0.1694122573041551,0.9434303411820625
294,L-BFGS-B,25,0.25,bw,0.19963640203749114,0.9228486257022992
295,L-BFGS-B,26,0.25,bw,0.16983338811416085,0.9446339517046687
296,L-BFGS-B,27,0.25,bw,0.1835264211237151,0.9323828858224231
297,L-BFGS-B,28,0.25,bw,0.16370249653957322,0.9472468301765767
298,L-BFGS-B,29,0.25,bw,0.18767843556702773,0.9370857337360962
299,L-BFGS-B,30,0.25,bw,0.173425651149579,0.9453921202756087
300,L-BFGS-B,1,0.25,ch,7251.353977679963,0.7059111414753876
301,L-BFGS-B,2,0.25,ch,7600.943848571779,0.6980634776204725
302,L-BFGS-B,3,0.25,ch,7822.841043130065,0.6942858050120705
303,L-BFGS-B,4,0.25,ch,6979.769260176416,0.7148258144413207
304,L-BFGS-B,5,0.25,ch,7386.802675065026,0.7112285374472498
305,L-BFGS-B,6,0.25,ch,7294.996142893253,0.7197989298626908
306,L-BFGS-B,7,0.25,ch,7785.187668955901,0.6848004868763009
307,L-BFGS-B,8,0.25,ch,7013.096455392227,0.7204727134543297
308,L-BFGS-B,9,0.25,ch,6877.680618919306,0.7248901545421521
309,L-BFGS-B,10,0.25,ch,5974.492483455226,0.7738479179473865
310,L-BFGS-B,11,0.25,ch,5933.731113386897,0.7736228163205258
311,L-BFGS-B,12,0.25,ch,6083.045807467993,0.7683436590510344
312,L-BFGS-B,13,0.25,ch,7704.044034843289,0.6929576201539283
313,L-BFGS-B,14,0.25,ch,6864.585006948609,0.726774531016269
314,L-BFGS-B,15,0.25,ch,6718.7579719839505,0.7270773340950976
315,L-BFGS-B,16,0.25,ch,7573.409224285259,0.6931996310785058
316,L-BFGS-B,17,0.25,ch,7727.619624996873,0.6880144231647646
317,L-BFGS-B,18,0.25,ch,7052.071049664934,0.7162045717956057
318,L-BFGS-B,19,0.25,ch,7072.511498335427,0.7146967791754615
319,L-BFGS-B,20,0.25,ch,6484.234911372767,0.7522059106428417
320,L-BFGS-B,21,0.25,ch,6186.902848282987,0.764837588741377
321,L-BFGS-B,22,0.25,ch,7391.729026991796,0.7033160500600659
322,L-BFGS-B,23,0.25,ch,6769.263002831565,0.7351888055359167
323,L-BFGS-B,24,0.25,ch,7556.916688921472,0.6916575944403427
324,L-BFGS-B,25,0.25,ch,6580.077920137565,0.741151691944198
325,L-BFGS-B,26,0.25,ch,7192.836534558805,0.7077797933651977
326,L-BFGS-B,27,0.25,ch,6909.79420128001,0.7320578007652505
327,L-BFGS-B,28,0.25,ch,7269.891484403169,0.7054596270506608
328,L-BFGS-B,29,0.25,ch,7958.287726638347,0.6863936125446124
329,L-BFGS-B,30,0.25,ch,7491.328514167999,0.704762643976039
330,L-BFGS-B,1,0.25,sak,0.14654024876311336,0.9600324430571726
331,L-BFGS-B,2,0.25,sak,0.13751925791927694,0.9635953353280026
332,L-BFGS-B,3,0.25,sak,0.1443384756370477,0.957787479641066
333,L-BFGS-B,4,0.25,sak,0.1436269920437601,0.9571539630720727
334,L-BFGS-B,5,0.25,sak,0.1370291332566984,0.9648196821832258
335,L-BFGS-B,6,0.25,sak,0.14816309573462508,0.958906027195585
336,L-BFGS-B,7,0.25,sak,0.14747212758860642,0.9607648484585274
337,L-BFGS-B,8,0.25,sak,0.15132473672549224,0.9570555638148597
338,L-BFGS-B,9,0.25,sak,0.14366169974084927,0.9589067596057733
339,L-BFGS-B,10,0.25,sak,0.13849087552844053,0.9645284550142513
340,L-BFGS-B,11,0.25,sak,0.14122011184105757,0.9611494861602405
341,L-BFGS-B,12,0.25,sak,0.1421643412337842,0.9626335731649331
342,L-BFGS-B,13,0.25,sak,0.14379471829880652,0.9604368949582687
343,L-BFGS-B,14,0.25,sak,0.14215952960295353,0.961082037431641
344,L-BFGS-B,15,0.25,sak,0.1358375320654155,0.9650006552977765
345,L-BFGS-B,16,0.25,sak,0.13877758342100946,0.9584212292737115
346,L-BFGS-B,17,0.25,sak,0.14034631979596257,0.9637527086183882
347,L-BFGS-B,18,0.25,sak,0.14197038153100813,0.9591479268608608
348,L-BFGS-B,19,0.25,sak,0.14245062955236312,0.9592093431371118
349,L-BFGS-B,20,0.25,sak,0.1480402419550095,0.960073334102093
350,L-BFGS-B,21,0.25,sak,0.1358353536887703,0.9658453298530219
351,L-BFGS-B,22,0.25,sak,0.14190596278373638,0.959655784481291
352,L-BFGS-B,23,0.25,sak,0.15473623600552602,0.9511904580395357
353,L-BFGS-B,24,0.25,sak,0.14885224575817996,0.9556040942142561
